"probe_id","mgi_symbol","GSM5429757","GSM5429758","GSM5429759","GSM5429760","GSM5429761","GSM5429762","GSM5429763","GSM5429764","GSM5429765","GSM5429766","GSM5429767","GSM5429768"
"10338615",NA,7.233679,7.602932,7.030619,7.557238,6.495893,7.580786,7.359729,7.027396,7.047952,6.850729,7.445798,6.988462
"10338616",NA,6.505557,6.802015,7.161253,7.255396,6.069597,7.047726,6.343469,7.11732,7.182106,6.871268,6.386837,6.533574
"10338617",NA,5.596845,5.731095,6.21284,5.584294,5.4705,4.996641,5.86432,5.642575,5.476292,5.323264,5.346399,5.584064
"10338618",NA,5.479196,6.268962,6.566496,5.922064,6.365168,6.912696,6.984115,6.665907,6.271241,5.809069,6.049526,5.549829
"10338619",NA,9.208535,9.214697,9.423743,9.517129,9.011022,9.284755,9.485789,9.39771,9.628462,9.578353,9.423047,9.879111
"10338620",NA,4.446614,4.651672,4.861191,5.263353,4.902274,4.643309,4.154006,4.623933,3.952842,4.361108,4.1716,4.183126
"10338621",NA,4.091537,3.596413,3.73557,3.506128,3.397276,3.861634,3.960918,3.613011,3.457641,3.414114,3.687175,3.760554
"10338622",NA,4.448282,3.714449,3.93463,4.001301,4.00563,3.947182,3.622278,3.872907,4.192371,3.594618,3.790019,4.048919
"10338623",NA,4.415375,4.033845,5.515827,5.450242,4.610147,4.880524,5.33612,5.651304,5.61633,5.817736,5.349846,5.428465
"10338624",NA,4.965566,4.908372,4.086623,5.132806,5.77094,4.791045,5.343108,5.147935,5.851892,4.667939,4.875937,5.485534
"10338625",NA,6.312747,5.628976,5.480074,5.786608,5.071975,5.505104,5.666265,5.314475,5.505187,5.474931,4.56806,5.27226
"10338626",NA,4.116911,3.950731,4.466305,4.875987,3.654731,4.461262,4.224443,4.650425,4.282898,4.340938,4.492762,4.226709
"10338627",NA,9.205898,9.350763,10.06738,10.23156,9.480391,9.716343,9.661872,9.177064,9.354605,9.511344,8.789216,9.103907
"10338628",NA,4.585423,4.298315,4.855414,5.131895,5.116889,4.766231,4.93504,4.750753,4.938126,5.0412,5.394154,4.967013
"10338629",NA,4.700288,5.589813,5.121639,5.354801,5.193809,4.709832,5.082612,5.080231,5.637298,4.99977,5.251577,5.24381
"10338630",NA,3.150612,3.146229,3.241011,3.244333,3.396502,3.31163,3.161595,3.435559,3.077132,3.160134,3.322764,3.202678
