"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ptcra",-0.0987315952380898,6.078722,-0.841482579923756,0.41495928740205,0.739061951683569,-5.85842301375914
"Cylc2",-0.222795333333329,5.01217538461538,-0.841432055286452,0.414986590911115,0.739061951683569,-5.85846462543603
"Acp3",0.354839523809526,7.08273123076923,0.841178822003986,0.415123456005586,0.739061951683569,-5.85867315260936
"Chrdl1",0.256255166666671,9.59990461538461,0.841013161361115,0.415213006785898,0.739061951683569,-5.85880953693548
"Arhgap15",0.287072595238099,7.03233761538462,0.84099325017539,0.415223770985818,0.739061951683569,-5.85882592770608
"Lonp1",0.0822305952380979,8.26427415384615,0.840966931362138,0.415237999500075,0.739061951683569,-5.85884759266503
"Or2y1f",-0.0928011666666624,5.52857569230769,-0.840961445894797,0.41524096510172,0.739061951683569,-5.85885210808192
"Npb",-0.0755288809523815,5.95416423076923,-0.840957884711564,0.415242890387428,0.739061951683569,-5.85885503949114
"Axin2",0.147566452380953,7.72214830769231,0.840935788132987,0.415254836612234,0.739061951683569,-5.8588732281733
"Smarca5-ps",0.0925249285714322,8.89883038461539,0.840830899658292,0.415311546278678,0.739061951683569,-5.85895956073522
"Dpf1",-0.0893812142857122,6.60612684615385,-0.840815462354228,0.415319893140255,0.739061951683569,-5.85897226619868
"Gpr18",0.147993666666666,6.66803476923077,0.840726425504098,0.415368037012086,0.739061951683569,-5.85904554269507
"1700025G04Rik",0.128130095238097,9.80597153846154,0.840721328635451,0.415370793094586,0.739061951683569,-5.85904973716025
"Serinc4",-0.0736046190476198,6.23902492307692,-0.840717124080666,0.415373066676058,0.739061951683569,-5.85905319727911
"Cplx2",-0.0697000714285716,6.43253430769231,-0.840691039632562,0.415387171829128,0.739061951683569,-5.85907466300868
"Ccr9",0.198733333333335,5.63155307692308,0.840632026597412,0.415419084265581,0.739061951683569,-5.85912322452994
"Eif3j2",-0.119426999999996,10.0194288461538,-0.840509471740518,0.415485363330983,0.739079063661502,-5.85922406454132
"Cytip",0.338511642857142,6.798,0.84046435297882,0.415509765827845,0.739079063661502,-5.85926118563516
"Tmx4",0.115389404761908,9.19700707692308,0.840421985383841,0.415532681215426,0.739079063661502,-5.85929604160544
"Ppp1r14c",0.0835724285714319,5.54131146153846,0.840237175895485,0.415632648981404,0.739126507076597,-5.85944806663476
"Foxf2",-0.137164690476189,5.62599507692308,-0.840205893024139,0.415649572185328,0.739126507076597,-5.8594737970895
"Ldhc",-0.70717202380952,7.24329076923077,-0.840165567624886,0.415671387827134,0.739126507076597,-5.8595069638432
"Or2d2",-0.195240166666665,5.36485015384615,-0.840116373799717,0.415698002221423,0.739126507076597,-5.85954742275293
"Ttll13",-0.359514785714286,6.84972638461538,-0.839873669186216,0.415829324494651,0.739233015070872,-5.85974700140366
